iter	Passed	Remaining
0	144	143977
1	146	73011
2	148	49479
3	151	37740
4	153	30598
5	154	25668
6	156	22164
7	157	19527
8	158	17501
9	160	15884
10	162	14599
11	164	13508
12	166	12625
13	168	11887
14	171	11229
15	172	10583
16	174	10095
17	176	9633
18	178	9231
19	180	8853
20	182	8521
21	184	8180
22	185	7870
23	186	7590
24	187	7326
25	189	7102
26	191	6898
27	192	6692
28	193	6494
29	195	6309
30	196	6140
31	197	5970
32	198	5821
33	199	5676
34	200	5535
35	201	5400
36	202	5272
37	203	5158
38	205	5055
39	206	4949
40	207	4845
41	208	4745
42	208	4648
43	209	4560
44	210	4472
45	211	4389
46	212	4308
47	213	4231
48	214	4156
49	215	4085
50	215	4016
51	216	3953
52	217	3889
53	218	3834
54	219	3779
55	220	3724
56	221	3669
57	222	3616
58	223	3564
59	224	3513
60	225	3467
61	226	3422
62	227	3379
63	228	3335
64	228	3292
65	229	3250
66	230	3208
67	231	3170
68	232	3133
69	233	3105
70	235	3075
71	236	3044
72	237	3012
73	238	2979
74	238	2946
75	239	2915
76	240	2884
77	241	2853
78	242	2827
79	243	2801
80	244	2772
81	245	2747
82	245	2716
83	246	2691
84	247	2665
85	248	2644
86	249	2621
87	250	2597
88	251	2575
89	252	2553
90	253	2531
91	254	2510
92	255	2488
93	256	2469
94	256	2447
95	257	2427
96	258	2406
97	259	2386
98	260	2367
99	261	2350
100	262	2334
101	263	2317
102	264	2303
103	265	2287
104	266	2271
105	267	2254
106	268	2238
107	268	2221
108	270	2207
109	271	2192
110	271	2176
111	272	2161
112	273	2145
113	274	2130
114	274	2116
115	275	2101
116	276	2085
117	277	2071
118	278	2058
119	279	2047
120	280	2037
121	281	2024
122	282	2012
123	283	2001
124	284	1989
125	285	1976
126	285	1963
127	286	1951
128	287	1940
129	288	1928
130	289	1918
131	289	1906
132	290	1895
133	291	1885
134	292	1874
135	293	1865
136	295	1858
137	296	1849
138	297	1839
139	298	1830
140	298	1820
141	299	1808
142	300	1799
143	301	1790
144	302	1781
145	303	1772
146	303	1763
147	305	1756
148	306	1748
149	307	1741
150	308	1732
151	308	1723
152	310	1716
153	311	1711
154	312	1704
155	313	1697
156	314	1690
157	315	1682
158	316	1674
159	317	1667
160	318	1658
161	319	1651
162	320	1644
163	321	1636
164	321	1629
165	322	1622
166	323	1615
167	325	1614
168	327	1608
169	328	1602
170	329	1595
171	330	1590
172	331	1585
173	332	1578
174	333	1572
175	334	1566
176	335	1559
177	336	1552
178	337	1547
179	338	1542
180	340	1538
181	341	1533
182	342	1527
183	343	1522
184	344	1516
185	345	1510
186	346	1504
187	347	1498
188	347	1492
189	348	1487
190	350	1482
191	351	1477
192	352	1472
193	353	1468
194	355	1465
195	356	1462
196	357	1458
197	358	1453
198	360	1449
199	361	1444
200	362	1440
201	363	1436
202	364	1432
203	365	1427
204	367	1423
205	368	1418
206	369	1414
207	370	1411
208	371	1406
209	372	1402
210	373	1397
211	374	1393
212	375	1388
213	376	1383
214	377	1379
215	378	1375
216	380	1372
217	381	1367
218	382	1363
219	383	1359
220	384	1355
221	385	1352
222	387	1348
223	388	1344
224	388	1339
225	389	1335
226	390	1330
227	391	1325
228	392	1321
229	393	1317
230	394	1312
231	395	1308
232	396	1303
233	397	1299
234	398	1296
235	399	1292
236	400	1289
237	401	1285
238	402	1280
239	403	1276
240	403	1272
241	405	1269
242	406	1266
243	407	1262
244	408	1257
245	408	1253
246	409	1249
247	410	1245
248	412	1242
249	413	1239
250	415	1239
251	416	1235
252	417	1231
253	418	1228
254	419	1225
255	420	1222
256	421	1218
257	422	1215
258	423	1212
259	424	1208
260	425	1205
261	426	1202
262	427	1199
263	429	1197
264	430	1193
265	431	1190
266	432	1187
267	433	1183
268	434	1180
269	435	1176
270	436	1172
271	437	1170
272	438	1167
273	439	1163
274	439	1159
275	440	1156
276	441	1153
277	442	1149
278	443	1146
279	444	1143
280	445	1141
281	446	1137
282	447	1134
283	448	1130
284	449	1128
285	450	1125
286	451	1122
287	452	1118
288	453	1115
289	454	1112
290	455	1109
291	456	1106
292	457	1103
293	458	1100
294	459	1097
295	460	1095
296	461	1092
297	462	1089
298	463	1086
299	464	1083
300	465	1080
301	466	1077
302	466	1073
303	467	1070
304	468	1067
305	469	1064
306	470	1062
307	471	1059
308	472	1056
309	473	1053
310	474	1050
311	475	1048
312	476	1045
313	477	1042
314	478	1040
315	479	1037
316	480	1034
317	480	1031
318	481	1028
319	482	1025
320	483	1023
321	484	1020
322	485	1017
323	486	1015
324	488	1014
325	489	1012
326	491	1010
327	492	1008
328	493	1006
329	495	1005
330	496	1002
331	497	1000
332	498	997
333	499	995
334	501	996
335	502	993
336	503	991
337	504	988
338	505	986
339	506	984
340	507	981
341	508	978
342	509	976
343	510	973
344	511	971
345	512	968
346	513	966
347	514	964
348	515	962
349	516	959
350	517	956
351	518	954
352	519	951
353	520	949
354	521	947
355	522	945
356	523	942
357	524	939
358	525	937
359	525	934
360	526	932
361	527	929
362	528	927
363	529	924
364	530	922
365	530	919
366	531	917
367	532	914
368	533	912
369	534	910
370	535	908
371	536	906
372	537	904
373	538	901
374	539	898
375	540	896
376	541	894
377	542	891
378	542	889
379	544	887
380	544	885
381	545	882
382	546	880
383	547	878
384	548	876
385	549	873
386	550	872
387	551	870
388	553	868
389	554	866
390	555	864
391	556	862
392	557	860
393	558	858
394	559	856
395	560	854
396	561	852
397	562	850
398	563	848
399	563	845
400	564	843
401	566	842
402	567	840
403	568	838
404	569	836
405	570	834
406	571	832
407	572	830
408	573	828
409	574	826
410	575	824
411	576	822
412	576	820
413	577	817
414	578	815
415	579	813
416	580	812
417	581	810
418	582	808
419	583	805
420	584	803
421	585	801
422	586	799
423	586	797
424	587	795
425	588	793
426	589	791
427	590	789
428	591	786
429	592	784
430	593	782
431	593	780
432	594	778
433	596	777
434	597	776
435	598	774
436	599	772
437	600	770
438	601	768
439	602	766
440	603	764
441	604	762
442	605	760
443	606	759
444	607	757
445	608	755
446	609	753
447	610	751
448	611	750
449	612	748
450	613	746
451	614	745
452	615	743
453	616	741
454	617	739
455	618	737
456	618	735
457	619	733
458	620	731
459	621	729
460	622	727
461	623	725
462	624	724
463	625	722
464	626	720
465	627	719
466	628	717
467	629	715
468	630	713
469	631	711
470	631	709
471	632	707
472	633	706
473	634	704
474	635	702
475	636	700
476	637	698
477	637	696
478	638	694
479	639	692
480	640	690
481	642	690
482	643	688
483	644	687
484	645	685
485	646	683
486	646	681
487	647	679
488	648	677
489	649	676
490	650	674
491	651	672
492	652	670
493	652	668
494	653	666
495	654	664
496	655	663
497	656	661
498	657	660
499	658	658
500	659	656
501	660	655
502	661	653
503	662	651
504	663	650
505	664	648
506	664	646
507	665	644
508	666	643
509	667	641
510	668	639
511	669	637
512	670	636
513	670	634
514	672	633
515	673	631
516	674	629
517	675	628
518	676	626
519	677	625
520	677	623
521	678	621
522	679	619
523	680	617
524	681	616
525	682	614
526	682	612
527	683	611
528	684	609
529	685	608
530	686	606
531	688	605
532	689	603
533	690	602
534	691	600
535	691	598
536	692	597
537	693	595
538	694	593
539	695	592
540	696	591
541	697	589
542	698	588
543	699	586
544	700	584
545	701	583
546	703	582
547	704	580
548	705	579
549	706	578
550	707	576
551	709	575
552	710	574
553	711	572
554	712	571
555	713	569
556	714	568
557	715	566
558	716	565
559	717	563
560	718	562
561	719	561
562	720	559
563	722	558
564	723	556
565	724	555
566	725	554
567	726	552
568	728	551
569	729	550
570	730	548
571	731	547
572	733	546
573	735	545
574	736	544
575	737	543
576	738	541
577	740	540
578	741	538
579	741	537
580	742	535
581	743	534
582	744	532
583	745	530
584	746	529
585	746	527
586	748	526
587	749	525
588	750	523
589	751	522
590	752	521
591	753	519
592	754	518
593	755	516
594	756	515
595	757	513
596	758	512
597	759	510
598	760	509
599	761	507
600	761	505
601	763	504
602	764	503
603	765	501
604	766	500
605	767	498
606	768	497
607	769	496
608	770	494
609	771	493
610	772	491
611	773	490
612	774	489
613	775	487
614	776	486
615	777	484
616	779	483
617	780	482
618	781	481
619	782	479
620	783	478
621	784	476
622	785	475
623	787	474
624	787	472
625	789	471
626	790	470
627	791	468
628	792	467
629	794	466
630	795	465
631	796	463
632	797	462
633	798	461
634	799	459
635	800	458
636	801	456
637	802	455
638	803	454
639	804	452
640	805	451
641	806	449
642	807	448
643	808	446
644	809	445
645	810	444
646	811	442
647	812	441
648	813	440
649	814	438
650	815	437
651	816	435
652	817	434
653	817	432
654	818	431
655	819	429
656	820	428
657	821	426
658	822	425
659	822	423
660	824	422
661	825	421
662	826	420
663	827	418
664	828	417
665	829	415
666	830	414
667	831	413
668	831	411
669	832	410
670	833	408
671	834	407
672	835	406
673	836	404
674	837	403
675	839	402
676	840	401
677	841	399
678	843	398
679	844	397
680	845	395
681	846	394
682	847	393
683	848	391
684	848	390
685	849	388
686	850	387
687	851	386
688	852	384
689	853	383
690	854	382
691	855	380
692	857	379
693	858	378
694	858	376
695	859	375
696	860	374
697	861	372
698	862	371
699	863	370
700	864	368
701	864	367
702	865	365
703	866	364
704	867	362
705	868	361
706	869	360
707	870	359
708	871	357
709	873	356
710	874	355
711	875	354
712	876	352
713	877	351
714	878	350
715	879	348
716	880	347
717	880	345
718	881	344
719	882	343
720	883	341
721	884	340
722	885	339
723	886	338
724	887	336
725	888	335
726	889	334
727	890	332
728	891	331
729	891	329
730	892	328
731	893	327
732	894	325
733	895	324
734	896	323
735	897	321
736	898	320
737	899	319
738	900	318
739	901	316
740	902	315
741	903	314
742	904	312
743	905	311
744	906	310
745	907	308
746	908	307
747	909	306
748	910	305
749	911	303
750	912	302
751	912	301
752	913	299
753	914	298
754	916	297
755	917	296
756	918	294
757	919	293
758	919	292
759	920	290
760	921	289
761	922	288
762	923	286
763	924	285
764	925	284
765	926	282
766	927	281
767	928	280
768	928	279
769	930	277
770	931	276
771	932	275
772	933	274
773	934	272
774	935	271
775	936	270
776	937	269
777	938	267
778	939	266
779	940	265
780	941	263
781	942	262
782	943	261
783	944	260
784	945	258
785	946	257
786	947	256
787	948	255
788	949	253
789	949	252
790	950	251
791	951	249
792	952	248
793	953	247
794	954	246
795	955	244
796	956	243
797	957	242
798	958	241
799	959	239
800	960	238
801	961	237
802	962	236
803	963	234
804	964	233
805	965	232
806	966	231
807	967	229
808	968	228
809	969	227
810	970	226
811	970	224
812	972	223
813	973	222
814	974	221
815	975	220
816	977	218
817	978	217
818	979	216
819	980	215
820	981	214
821	982	212
822	984	211
823	985	210
824	986	209
825	987	207
826	988	206
827	989	205
828	990	204
829	992	203
830	993	202
831	994	200
832	995	199
833	997	198
834	998	197
835	999	196
836	1000	194
837	1001	193
838	1002	192
839	1003	191
840	1004	189
841	1006	188
842	1007	187
843	1008	186
844	1009	185
845	1010	183
846	1011	182
847	1012	181
848	1013	180
849	1014	179
850	1016	177
851	1017	176
852	1018	175
853	1020	174
854	1022	173
855	1023	172
856	1025	171
857	1025	169
858	1026	168
859	1027	167
860	1029	166
861	1029	164
862	1030	163
863	1032	162
864	1033	161
865	1034	160
866	1035	158
867	1037	157
868	1038	156
869	1039	155
870	1040	154
871	1041	152
872	1042	151
873	1043	150
874	1044	149
875	1045	148
876	1046	146
877	1047	145
878	1048	144
879	1048	143
880	1049	141
881	1050	140
882	1052	139
883	1053	138
884	1054	136
885	1055	135
886	1056	134
887	1057	133
888	1058	132
889	1059	130
890	1060	129
891	1061	128
892	1062	127
893	1063	126
894	1064	124
895	1065	123
896	1067	122
897	1068	121
898	1069	120
899	1070	118
900	1071	117
901	1072	116
902	1073	115
903	1073	114
904	1074	112
905	1075	111
906	1076	110
907	1077	109
908	1078	107
909	1079	106
910	1080	105
911	1081	104
912	1082	103
913	1084	102
914	1085	100
915	1086	99
916	1087	98
